userId,productId,ratings,Product Name,Price
998,116,2,Salad,6
948,121,2,Milk,9
776,126,1,Tuna,5
224,109,1,Cupcake,9
657,124,2,Carrots,10
139,105,5,Meat,15
470,110,5,Curly Kale,5
355,111,4,Cereals,5
67,101,4,Bread,11
151,109,5,Cupcake,9
82,111,4,Cereals,5
64,126,2,Tuna,5
173,110,5,Curly Kale,5
240,100,1,Juice,6
956,107,3,Banana,15
573,116,1,Salad,6
323,103,5,Cheese,6
830,105,5,Meat,15
772,104,3,Cookie,5
205,118,4,Curd,13
741,108,2,Grapes,7
833,124,4,Carrots,10
743,120,5,Eggs,8
272,108,5,Grapes,7
285,129,3,Avocado,6
989,123,3,Chips,14
266,128,2,coconut water,15
882,123,4,Chips,14
462,105,1,Meat,15
281,125,5,Zhucchini,6
882,113,1,walnut,14
596,120,1,Eggs,8
922,103,5,Cheese,6
478,127,2,pizza,8
310,115,2,Cabbage,5
733,107,4,Banana,15
736,106,5,Fish,5
81,107,3,Banana,15
682,125,4,Zhucchini,6
348,128,4,coconut water,15
890,105,1,Meat,15
572,129,1,Avocado,6
447,100,3,Juice,6
739,104,1,Cookie,5
606,119,4,Cereals,14
125,129,1,Avocado,6
576,110,2,Curly Kale,5
743,108,5,Grapes,7
878,115,1,Cabbage,5
311,104,2,Cookie,5
904,106,5,Fish,5
554,100,5,Juice,6
670,113,4,walnut,14
127,120,4,Eggs,8
713,101,3,Bread,11
535,119,1,Cereals,14
173,115,3,Cabbage,5
208,120,5,Eggs,8
583,102,1,Sphagetti,14
437,126,3,Tuna,5
70,123,2,Chips,14
197,115,4,Cabbage,5
796,112,3,Rice,11
782,114,5,Apples,9
552,121,5,Milk,9
258,113,5,walnut,14
596,105,5,Meat,15
54,123,5,Chips,14
504,127,5,pizza,8
29,111,2,Cereals,5
530,101,2,Bread,11
887,104,2,Cookie,5
579,126,2,Tuna,5
352,122,5,Tortilla,6
538,118,4,Curd,13
967,127,3,pizza,8
469,120,4,Eggs,8
115,120,4,Eggs,8
549,105,3,Meat,15
697,102,2,Sphagetti,14
864,100,1,Juice,6
64,129,5,Avocado,6
188,108,3,Grapes,7
324,116,4,Salad,6
519,129,4,Avocado,6
541,114,1,Apples,9
738,120,1,Eggs,8
805,101,1,Bread,11
286,127,5,pizza,8
209,103,2,Cheese,6
492,114,4,Apples,9
155,116,2,Salad,6
162,127,5,pizza,8
878,106,2,Fish,5
662,103,5,Cheese,6
640,103,4,Cheese,6
638,126,2,Tuna,5
701,101,3,Bread,11
562,101,5,Bread,11
176,124,3,Carrots,10
29,124,3,Carrots,10
360,108,3,Grapes,7
474,106,3,Fish,5
724,122,4,Tortilla,6
324,116,1,Salad,6
689,118,1,Curd,13
496,121,1,Milk,9
962,118,5,Curd,13
168,117,3,Frozen,8
688,120,3,Eggs,8
481,109,4,Cupcake,9
457,109,3,Cupcake,9
907,107,5,Banana,15
986,107,3,Banana,15
157,109,3,Cupcake,9
196,111,2,Cereals,5
216,107,1,Banana,15
63,102,4,Sphagetti,14
57,122,1,Tortilla,6
745,118,3,Curd,13
749,105,3,Meat,15
128,123,4,Chips,14
284,112,3,Rice,11
170,117,1,Frozen,8
384,124,5,Carrots,10
996,114,5,Apples,9
761,120,4,Eggs,8
622,125,3,Zhucchini,6
208,112,4,Rice,11
360,108,3,Grapes,7
293,107,1,Banana,15
499,103,4,Cheese,6
88,103,3,Cheese,6
520,114,2,Apples,9
23,124,1,Carrots,10
459,129,1,Avocado,6
887,126,4,Tuna,5
87,108,3,Grapes,7
658,118,1,Curd,13
698,113,4,walnut,14
445,107,1,Banana,15
932,115,2,Cabbage,5
682,110,3,Curly Kale,5
870,104,3,Cookie,5
350,120,1,Eggs,8
982,119,1,Cereals,14
499,122,2,Tortilla,6
433,115,5,Cabbage,5
162,119,3,Cereals,14
831,120,3,Eggs,8
240,120,3,Eggs,8
831,105,3,Meat,15
456,110,4,Curly Kale,5
821,122,4,Tortilla,6
179,100,4,Juice,6
915,126,3,Tuna,5
799,126,1,Tuna,5
656,104,3,Cookie,5
527,118,5,Curd,13
240,111,3,Cereals,5
179,107,3,Banana,15
833,101,1,Bread,11
334,107,4,Banana,15
361,110,1,Curly Kale,5
707,125,1,Zhucchini,6
137,110,5,Curly Kale,5
773,125,2,Zhucchini,6
400,100,5,Juice,6
605,110,2,Curly Kale,5
947,118,2,Curd,13
606,100,5,Juice,6
37,125,1,Zhucchini,6
413,127,4,pizza,8
432,118,3,Curd,13
216,109,1,Cupcake,9
423,127,5,pizza,8
253,112,4,Rice,11
765,114,1,Apples,9
704,103,2,Cheese,6
297,121,4,Milk,9
455,104,1,Cookie,5
338,117,2,Frozen,8
252,126,1,Tuna,5
854,113,5,walnut,14
647,109,2,Cupcake,9
163,121,1,Milk,9
205,128,3,coconut water,15
260,100,4,Juice,6
249,104,2,Cookie,5
811,106,2,Fish,5
530,128,4,coconut water,15
281,124,3,Carrots,10
785,109,3,Cupcake,9
484,123,2,Chips,14
457,127,1,pizza,8
906,111,4,Cereals,5
736,123,3,Chips,14
827,101,3,Bread,11
867,108,5,Grapes,7
399,102,5,Sphagetti,14
64,104,2,Cookie,5
641,113,4,walnut,14
661,122,5,Tortilla,6
47,123,2,Chips,14
572,126,4,Tuna,5
807,104,1,Cookie,5
544,121,3,Milk,9
630,104,3,Cookie,5
843,128,5,coconut water,15
525,111,4,Cereals,5
422,125,4,Zhucchini,6
448,125,1,Zhucchini,6
623,100,2,Juice,6
300,108,2,Grapes,7
167,102,2,Sphagetti,14
483,119,1,Cereals,14
554,125,4,Zhucchini,6
268,123,3,Chips,14
131,112,4,Rice,11
518,107,4,Banana,15
218,129,3,Avocado,6
155,106,3,Fish,5
635,125,4,Zhucchini,6
745,122,5,Tortilla,6
393,101,2,Bread,11
411,123,3,Chips,14
914,127,4,pizza,8
860,126,2,Tuna,5
160,122,2,Tortilla,6
701,118,1,Curd,13
572,123,4,Chips,14
697,104,2,Cookie,5
611,125,1,Zhucchini,6
426,115,3,Cabbage,5
350,108,5,Grapes,7
416,128,4,coconut water,15
739,108,2,Grapes,7
125,119,2,Cereals,14
958,120,1,Eggs,8
654,113,3,walnut,14
609,123,3,Chips,14
222,116,2,Salad,6
642,110,5,Curly Kale,5
988,128,1,coconut water,15
447,127,4,pizza,8
987,115,2,Cabbage,5
592,106,1,Fish,5
423,114,5,Apples,9
140,108,5,Grapes,7
383,115,5,Cabbage,5
570,116,1,Salad,6
916,129,4,Avocado,6
619,129,4,Avocado,6
503,127,3,pizza,8
237,106,1,Fish,5
673,119,4,Cereals,14
280,118,1,Curd,13
802,122,3,Tortilla,6
91,101,3,Bread,11
726,115,3,Cabbage,5
146,104,1,Cookie,5
50,123,4,Chips,14
789,125,2,Zhucchini,6
969,110,1,Curly Kale,5
925,100,5,Juice,6
973,103,5,Cheese,6
226,124,1,Carrots,10
455,123,4,Chips,14
975,121,4,Milk,9
669,101,5,Bread,11
985,125,2,Zhucchini,6
126,105,5,Meat,15
29,127,2,pizza,8
462,106,3,Fish,5
449,114,4,Apples,9
980,100,1,Juice,6
295,107,2,Banana,15
486,115,3,Cabbage,5
459,122,3,Tortilla,6
550,127,2,pizza,8
311,108,5,Grapes,7
620,120,1,Eggs,8
590,129,3,Avocado,6
617,119,1,Cereals,14
390,120,5,Eggs,8
788,117,5,Frozen,8
653,126,5,Tuna,5
923,125,2,Zhucchini,6
137,125,4,Zhucchini,6
896,108,1,Grapes,7
956,101,5,Bread,11
773,111,3,Cereals,5
604,118,5,Curd,13
482,116,5,Salad,6
155,109,3,Cupcake,9
58,124,2,Carrots,10
911,125,3,Zhucchini,6
429,106,2,Fish,5
713,116,4,Salad,6
870,118,1,Curd,13
132,105,1,Meat,15
327,104,3,Cookie,5
312,103,1,Cheese,6
316,122,1,Tortilla,6
978,104,4,Cookie,5
390,115,1,Cabbage,5
155,125,2,Zhucchini,6
897,120,3,Eggs,8
877,119,5,Cereals,14
844,117,2,Frozen,8
743,104,3,Cookie,5
487,125,2,Zhucchini,6
668,109,4,Cupcake,9
939,111,2,Cereals,5
974,101,3,Bread,11
79,120,5,Eggs,8
845,115,2,Cabbage,5
270,128,1,coconut water,15
645,114,3,Apples,9
313,123,2,Chips,14
36,113,5,walnut,14
782,120,2,Eggs,8
215,104,5,Cookie,5
996,128,4,coconut water,15
653,118,1,Curd,13
987,102,1,Sphagetti,14
96,124,4,Carrots,10
418,101,1,Bread,11
225,107,5,Banana,15
535,102,2,Sphagetti,14
470,114,4,Apples,9
455,127,2,pizza,8
783,100,4,Juice,6
501,101,5,Bread,11
239,107,3,Banana,15
833,111,4,Cereals,5
697,103,4,Cheese,6
943,121,3,Milk,9
201,113,2,walnut,14
536,107,1,Banana,15
953,104,1,Cookie,5
