,customer_unique_id,Number of Reviews,Average Review Ratings,satprediction
0,C00001,1,3.0,Unsatisfied
1,C00002,1,5.0, Satisfied
2,C00003,1,3.0,Unsatisfied
3,C00004,1,1.0,Unsatisfied
4,C00005,1,5.0, Satisfied
5,C00006,2,3.5, Satisfied
6,C00007,1,4.0, Satisfied
7,C00008,1,1.0,Unsatisfied
8,C00009,1,4.0, Satisfied
9,C00010,2,4.0, Satisfied
10,C00011,1,4.0, Satisfied
11,C00012,1,4.0, Satisfied
12,C00013,1,5.0, Satisfied
13,C00014,1,5.0, Satisfied
14,C00015,1,5.0, Satisfied
15,C00016,1,5.0, Satisfied
16,C00017,1,5.0, Satisfied
17,C00019,1,5.0, Satisfied
18,C00020,2,4.0, Satisfied
19,C00021,1,3.0,Unsatisfied
20,C00022,1,1.0,Unsatisfied
21,C00023,1,4.0, Satisfied
22,C00024,1,3.0,Unsatisfied
23,C00025,1,5.0, Satisfied
24,C00026,2,1.0,Unsatisfied
25,C00027,1,3.0,Unsatisfied
26,C00028,1,1.0,Unsatisfied
27,C00029,1,3.0,Unsatisfied
28,C00030,1,5.0, Satisfied
29,C00031,1,2.0,Unsatisfied
30,C00032,1,5.0, Satisfied
31,C00033,1,5.0, Satisfied
32,C00034,1,5.0, Satisfied
33,C00035,1,3.0,Unsatisfied
34,C00036,1,4.0, Satisfied
35,C00037,1,5.0, Satisfied
36,C00038,1,5.0, Satisfied
37,C00039,2,4.0, Satisfied
38,C00040,1,5.0, Satisfied
39,C00041,2,4.0, Satisfied
40,C00042,2,4.0, Satisfied
41,C00043,1,3.0,Unsatisfied
42,C00044,2,4.5, Satisfied
43,C00045,1,4.0, Satisfied
44,C00046,1,5.0, Satisfied
45,C00047,2,5.0, Satisfied
46,C00048,1,5.0, Satisfied
47,C00049,1,4.0, Satisfied
48,C00050,1,3.0,Unsatisfied
49,C00051,1,5.0, Satisfied
50,C00052,1,2.0,Unsatisfied
51,C00053,2,5.0, Satisfied
52,C00054,1,1.0,Unsatisfied
53,C00055,3,5.0, Satisfied
54,C00056,1,5.0, Satisfied
55,C00057,1,4.0, Satisfied
56,C00058,1,5.0, Satisfied
57,C00059,1,4.0, Satisfied
58,C00060,1,2.0,Unsatisfied
59,C00061,1,5.0, Satisfied
60,C00062,1,5.0, Satisfied
61,C00063,1,5.0, Satisfied
62,C00064,2,5.0, Satisfied
63,C00065,1,1.0,Unsatisfied
64,C00066,1,4.0, Satisfied
65,C00067,2,5.0, Satisfied
66,C00068,1,5.0, Satisfied
67,C00069,1,4.0, Satisfied
68,C00070,1,4.0, Satisfied
69,C00071,1,5.0, Satisfied
70,C00072,1,5.0, Satisfied
71,C00073,1,4.0, Satisfied
72,C00074,1,4.0, Satisfied
73,C00075,1,5.0, Satisfied
74,C00076,1,5.0, Satisfied
75,C00077,1,5.0, Satisfied
76,C00078,1,1.0,Unsatisfied
77,C00079,1,5.0, Satisfied
78,C00080,1,1.0,Unsatisfied
79,C00081,1,1.0,Unsatisfied
80,C00082,1,5.0, Satisfied
81,C00083,1,5.0, Satisfied
82,C00084,1,5.0, Satisfied
83,C00085,1,4.0, Satisfied
84,C00086,1,5.0, Satisfied
85,C00087,1,5.0, Satisfied
86,C00088,1,5.0, Satisfied
87,C00089,1,5.0, Satisfied
88,C00090,1,5.0, Satisfied
89,C00091,1,5.0, Satisfied
90,C00092,1,5.0, Satisfied
91,C00093,1,5.0, Satisfied
92,C00094,1,5.0, Satisfied
93,C00095,1,5.0, Satisfied
94,C00096,1,1.0,Unsatisfied
95,C00097,1,5.0, Satisfied
96,C00098,1,5.0, Satisfied
97,C00099,1,5.0, Satisfied
98,C00100,1,1.0,Unsatisfied
99,C00101,1,1.0,Unsatisfied
100,C00102,1,5.0, Satisfied
101,C00103,2,5.0, Satisfied
102,C00104,1,5.0, Satisfied
103,C00105,1,4.0, Satisfied
104,C00106,3,5.0, Satisfied
105,C00107,1,5.0, Satisfied
106,C00108,1,5.0, Satisfied
107,C00109,1,5.0, Satisfied
108,C00110,1,5.0, Satisfied
109,C00111,2,4.5, Satisfied
110,C00112,1,5.0, Satisfied
111,C00113,1,5.0, Satisfied
112,C00114,1,3.0,Unsatisfied
113,C00115,1,4.0, Satisfied
114,C00116,1,5.0, Satisfied
115,C00117,1,5.0, Satisfied
116,C00118,2,5.0, Satisfied
117,C00119,4,4.0, Satisfied
118,C00121,1,5.0, Satisfied
119,C00122,1,3.0,Unsatisfied
120,C00123,1,5.0, Satisfied
121,C00124,1,5.0, Satisfied
122,C00125,1,1.0,Unsatisfied
